# Verb vocabulary harvested from a corpus of interactive fiction.
#
# Regenerate:
#   verb-synonyms-gen harvest --corpus stories --corpus unit_tests \
#       --wordnet <WordNet-3.0/dict> --freq <12dicts/Lemmatized/2+2+3frq.txt> -o …
#
# Tab-separated: spelling, the number of stories whose parser accepts it, and
# the WordNet verb lemma to expand it under (empty when WordNet has no verb
# entry, which is most of the abbreviations, magic words and game-specific
# actions).  A spelling containing a space is a verb plus a literal word from
# one of its syntax lines — `turn on`, `pick up` — which is how English
# lexicalises them and how a thesaurus indexes them, even though a dictionary
# can only hold the head word.
#
# These are the STORIES' OWN spellings and are ground truth: a suggestion the
# parser would reject is worthless.  An inflected spelling is dropped only when
# every story that accepts it also accepts its base form.
#
# 149 stories read; 15454 spellings.
aaaaah	1	
aaaah	1	
aaah	1	
aaieee	1	
aaieee at	1	
aaieee to	1	
abando	1	
abando from	1	
abandon	2	abandon
abandon above	1	
abandon against	1	
abandon alongside	1	
abandon at	1	
abandon beside	1	
abandon by	1	
abandon dead	1	
abandon down	2	
abandon from	2	
abandon front	1	
abandon in	2	
abandon into	1	
abandon me	1	
abandon myself	1	
abandon near	1	
abandon next	1	
abandon of	1	
abandon on	2	
abandon onto	1	
abandon out	1	
abandon over	2	
abandon through	1	
abandon to	2	
abandon under	1	
abandon upon	1	
abandon with	1	
abeam	1	
abeam port	1	
abeam starboard	1	
abeam to	1	
abide	1	abide
abide awhile	1	
abide my	1	
abide one	1	
abide some	1	
abide the	1	
abide these	1	
abide those	1	
abide time	1	
abide while	1	
abort	1	abort
about	48	
about credit	1	
about credits	1	
about off	1	
abracadab	3	
absolutely	1	
absolutely against	1	
absolutely at	1	
absolutely chuck	1	
absorb	1	absorb
abstract	4	abstract
abstract to	4	
abt	1	
abvate	1	
abvate at	1	
accept	1	accept
accompany	1	accompany
accost	1	accost
accuse	6	accuse
accuse for	1	
accuse with	2	
achetez	1	
achieve	2	achieve
achieveme	3	
acknowled	1	
acqu	4	
acquire	4	acquire
acquire breath	1	
acquire down	1	
acquire flight	1	
acquire from	3	
acquire inventory	3	
acquire my	1	
acquire off	3	
acquire with	2	
act	4	act
act am	1	
act as	1	act as
act if	1	
act like	1	
act though	1	
act were	1	
act with	1	
acti	1	
actions	4	
actions off	4	
actions on	4	
activa	9	
activa over	1	
activate	16	activate
activate again	1	
activate for	1	
activate in	1	
activate over	1	
activate to	1	
activate with	1	
activetop	1	
actors	1	
add	5	add
add all	1	
add brew	1	
add coin	1	
add ingredients	1	
add mixture	1	
add of	1	
add potion	1	
add the	1	
add to	4	add to
addres	2	
address	2	address
adju	1	
adjust	63	adjust
adjust alight	1	
adjust clock	1	
adjust down	1	
adjust ear	1	
adjust fire	7	
adjust free	1	
adjust in	2	
adjust loose	1	
adjust off	1	
adjust on	7	
adjust time	1	
adjust to	56	
adjust using	2	
adjust with	7	
administe	1	
administe cut	1	
administe direct	1	
administe off	1	
administe on	1	
administe over	1	
administe the	1	
administe to	1	
administe up	1	
admire	7	admire
adrihug	1	
adriunloc	1	
advanc	5	
advanc around	3	
advanc behind	2	
advanc down	3	
advanc in	3	
advanc off	1	
advanc on	3	
advanc out	2	
advanc over	3	
advanc throug	3	
advanc to	3	
advanc under	2	
advanc up	3	
advance	6	advance
advance around	4	
advance away	3	
advance behind	4	
advance down	4	
advance from	3	
advance in	4	
advance off	1	
advance on	4	
advance out	4	
advance over	4	
advance past	1	
advance through	4	
advance to	4	
advance under	4	
advance up	4	
advise	2	advise
advise about	2	
affirm	7	affirm
affirmati	6	
affix	2	affix
affix into	1	
affix on	2	
affix onto	2	
affix to	2	
affix with	1	
afford	1	afford
afford cut	1	
afford direct	1	
afford off	1	
afford on	1	
afford over	1	
afford the	1	
afford to	1	
afford up	1	
affront	1	affront
aft	1	
aftermath	1	
aftern	2	
afternoon	1	
again	12	
aggrieve	1	aggrieve
agh	1	
agitate	2	agitate
agitate with	1	
agree	3	agree
agree it	1	
agree please	1	
agree with	2	
ahchoo	1	
aid	9	aid
aid out	1	
aid to	1	
aim	23	aim
aim at	21	
aim from	1	
aim in	5	
aim on	6	
aim out	1	
aim to	16	
aim toward	1	
aim with	8	
aimfiz	1	
aimfiz to	1	
air	1	air
air away	1	
air in	1	
air off	1	
air up	1	
air with	1	
ala	1	
alarmcloc	1	
all	1	
all topic	1	
all topics	1	
alldesc	1	
almaviva	1	
alohomora	1	
alohomorr	1	
alter	1	alter
alter at	1	
alter for	1	
alter to	1	
alternati	1	
ambulate	2	ambulate
ambulate about	1	
ambulate across	1	
ambulate after	1	
ambulate around	1	
ambulate away	1	
ambulate back	1	
ambulate backward	1	
ambulate backwards	1	
ambulate bathroom	1	
ambulate bed	1	
ambulate behind	1	
ambulate by	1	
ambulate down	1	
ambulate downstair	1	
ambulate downward	1	
ambulate forward	1	
ambulate hell	1	
ambulate in	2	
ambulate inside	2	
ambulate into	2	
ambulate loo	1	
ambulate near	1	
ambulate of	1	
ambulate off	1	
ambulate on	2	
ambulate onto	1	
ambulate onward	1	
ambulate out	2	
ambulate outside	1	
ambulate over	2	
ambulate sleep	1	
ambulate the	1	
ambulate through	2	
ambulate to	1	
ambulate toward	1	
ambulate towards	1	
ambulate up	2	
ambulate upstairs	1	
ambulate upwards	1	
ambulate with	1	
anagram	1	anagram
analys	4	
analys for	4	
analys in	2	
analys off	2	
analys on	3	
analys out	2	
analys under	2	
analyse	1	analyse
analyz	6	
analyz for	5	
analyz in	3	
analyz off	2	
analyz on	4	
analyz out	2	
analyz under	2	
angarithe	1	
angel	1	
angels	1	
angels horseback	1	
angels on	1	
anger	2	anger
anghofio	1	
angle	2	angle
angle to	1	
angrily	1	
ani	1	
animata	1	
animate	1	animate
annihilat	1	
annihilat down	1	
annihilat with	1	
annotatio	1	
annoy	2	annoy
anoint	2	anoint
anoint in	1	
anoint with	1	
anoppe	1	
answ	1	
answer	90	answer
answer angarithe	1	
answer at	7	
answer ayup	1	
answer body	1	
answer bye	5	
answer byebye	1	
answer call	1	
answer capalla	1	
answer cheerio	5	
answer chrythain	1	
answer ciao	1	
answer countess	1	
answer death	1	
answer derive	1	
answer echo	1	
answer extract	1	
answer farewell	5	
answer ferdinand	1	
answer fetch	1	
